,file_name,sources_c1&c3,actions_c1&c3,targets_c1&c3,districts_c1&c3,provinces_c1&c3,average_agreement
0,1,-1.0,1.0,1.0,-1.0,-1.0,1.0
1,2,0.0,1.0,1.0,-1.0,0.6666666666666666,0.6666666666666666
2,3,0.0,1.0,1.0,1.0,-1.0,0.75
3,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,6,0.75,1.0,1.0,-1.0,-1.0,0.9166666666666666
6,7,1.0,1.0,0.6153846153846154,0.0,-1.0,0.6538461538461539
7,8,0.0,0.0,0.0,0.0,-1.0,0.0
8,9,1.0,0.9375,1.0,-1.0,1.0,0.984375
9,10,0.5,0.95,0.9333333333333333,1.0,0.8,0.8366666666666667
10,11,1.0,1.0,1.0,1.0,1.0,1.0
11,12,1.0,1.0,1.0,-1.0,0.0,0.75
12,13,0.0,0.5454545454545454,0.0,0.0,1.0,0.3090909090909091
13,14,-1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8333333333333333
14,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,16,0.0,0.5454545454545454,1.0,1.0,-1.0,0.6363636363636364
16,17,0.0,0.0,0.0,0.0,-1.0,0.0
17,18,0.0,0.0,-1.0,-1.0,0.0,0.0
18,19,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,20,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,23,-1.0,1.0,1.0,0.6666666666666666,-1.0,0.8888888888888888
23,24,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,26,1.0,1.0,1.0,-1.0,-1.0,1.0
26,27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,28,0.0,1.0,1.0,0.0,0.0,0.4
28,29,-1.0,0.0,0.0,-1.0,0.0,0.0
29,30,0.8,1.0,1.0,0.4444444444444444,-1.0,0.8111111111111111
30,31,-1.0,1.0,1.0,0.0,0.0,0.5
31,32,0.0,0.8571428571428571,0.8,1.0,-1.0,0.6642857142857143
32,33,1.0,0.5,0.0,0.0,-1.0,0.375
33,34,-1.0,1.0,1.0,0.0,0.0,0.5
34,35,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
35,36,1.0,1.0,0.6666666666666666,1.0,-1.0,0.9166666666666666
36,37,0.0,0.0,0.0,0.0,-1.0,0.0
37,38,0.0,0.7142857142857143,0.8,1.0,-1.0,0.6285714285714286
38,39,1.0,0.75,1.0,1.0,1.0,0.95
39,40,1.0,1.0,1.0,1.0,0.0,0.8
40,41,-1.0,0.9166666666666666,0.0,1.0,-1.0,0.6388888888888888
